dataset_file,field_name,data_type,description,example
01_public_service_requests.csv,month,YYYY-MM string,Reporting month,2026-03
01_public_service_requests.csv,province,Text,Zimbabwe province used for aggregation,Manicaland
01_public_service_requests.csv,district,Text,District or service area used for aggregation,Mutare
01_public_service_requests.csv,latitude,Decimal,"Approximate centroid latitude for mapping, synthetic and not official",-18.9707
01_public_service_requests.csv,longitude,Decimal,"Approximate centroid longitude for mapping, synthetic and not official",32.6709
01_public_service_requests.csv,settlement_type,Category,"Urban, peri-urban, rural, or border classification",Urban
01_public_service_requests.csv,service_category,Category,Public service category,Water & sanitation
01_public_service_requests.csv,primary_channel,Category,Most used request channel,WhatsApp
01_public_service_requests.csv,requests_received,Integer,Number of aggregate service requests received,842
01_public_service_requests.csv,requests_resolved,Integer,Number of requests marked resolved,690
01_public_service_requests.csv,avg_resolution_days,Decimal,Average time to resolve requests in days,5.4
01_public_service_requests.csv,pct_resolved_on_time,Percent,Share of requests resolved within service target,72.5
01_public_service_requests.csv,unresolved_backlog,Integer,Outstanding unresolved request count,152
01_public_service_requests.csv,citizen_satisfaction_1_5,Decimal,Average satisfaction score from 1 low to 5 high,3.6
01_public_service_requests.csv,priority_flag,Category,Operational priority flag based on backlog and satisfaction,Watch
02_agriculture_climate_market_signals.csv,month,YYYY-MM string,Reporting month,2026-03
02_agriculture_climate_market_signals.csv,province,Text,Zimbabwe province used for aggregation,Manicaland
02_agriculture_climate_market_signals.csv,district,Text,District or service area used for aggregation,Mutare
02_agriculture_climate_market_signals.csv,latitude,Decimal,"Approximate centroid latitude for mapping, synthetic and not official",-18.9707
02_agriculture_climate_market_signals.csv,longitude,Decimal,"Approximate centroid longitude for mapping, synthetic and not official",32.6709
02_agriculture_climate_market_signals.csv,crop,Category,Crop covered by the observation,Maize
02_agriculture_climate_market_signals.csv,rainfall_mm,Decimal,Monthly rainfall proxy in millimetres,74.2
02_agriculture_climate_market_signals.csv,ndvi_proxy_0_1,Decimal,Vegetation index proxy from 0 to 1,0.44
02_agriculture_climate_market_signals.csv,pest_incidents_reported,Integer,Reported pest issue count,12
02_agriculture_climate_market_signals.csv,irrigation_coverage_pct,Percent,Estimated share of crop area with irrigation support,28.0
02_agriculture_climate_market_signals.csv,input_availability_score_0_100,Decimal,"Score for seed, fertilizer, agrochemical and advisory access",63.5
02_agriculture_climate_market_signals.csv,avg_farmgate_price_usd_per_tonne,Currency,Average farmgate price proxy,315.75
02_agriculture_climate_market_signals.csv,estimated_yield_t_per_ha,Decimal,Yield proxy in tonnes per hectare,2.15
02_agriculture_climate_market_signals.csv,climate_crop_risk_score_0_100,Decimal,Composite risk score where 100 is highest risk,71.4
02_agriculture_climate_market_signals.csv,risk_level,Category,"Low, Medium, or High risk band",High
03_health_access_digital_readiness_aggregate.csv,month,YYYY-MM string,Reporting month,2026-03
03_health_access_digital_readiness_aggregate.csv,province,Text,Zimbabwe province used for aggregation,Manicaland
03_health_access_digital_readiness_aggregate.csv,district,Text,District or service area used for aggregation,Mutare
03_health_access_digital_readiness_aggregate.csv,latitude,Decimal,"Approximate centroid latitude for mapping, synthetic and not official",-18.9707
03_health_access_digital_readiness_aggregate.csv,longitude,Decimal,"Approximate centroid longitude for mapping, synthetic and not official",32.6709
03_health_access_digital_readiness_aggregate.csv,settlement_type,Category,"Urban, peri-urban, rural, or border classification",Rural
03_health_access_digital_readiness_aggregate.csv,facility_type,Category,Aggregate health facility type,Clinic
03_health_access_digital_readiness_aggregate.csv,outpatient_visits,Integer,Monthly outpatient visit count,1200
03_health_access_digital_readiness_aggregate.csv,avg_wait_minutes,Decimal,Average patient waiting time in minutes,89.5
03_health_access_digital_readiness_aggregate.csv,essential_medicine_stockout_days,Integer,Days with essential medicine stockout,7
03_health_access_digital_readiness_aggregate.csv,telehealth_consultations,Integer,Remote consultations recorded,136
03_health_access_digital_readiness_aggregate.csv,network_uptime_pct,Percent,Connectivity uptime at facility level,82.0
03_health_access_digital_readiness_aggregate.csv,referral_completion_pct,Percent,Share of referrals completed,74.2
03_health_access_digital_readiness_aggregate.csv,patient_satisfaction_1_5,Decimal,Aggregate satisfaction score from 1 low to 5 high,3.4
03_health_access_digital_readiness_aggregate.csv,service_pressure_level,Category,"Low, Medium, or High operational pressure",Medium
04_tourism_destination_insights.csv,month,YYYY-MM string,Reporting month,2026-05
04_tourism_destination_insights.csv,destination,Text,Tourism destination or route,Great Zimbabwe
04_tourism_destination_insights.csv,province,Text,Province,Masvingo
04_tourism_destination_insights.csv,district,Text,District or nearby service area,Masvingo
